"time","psource.tlm.q [m^3/s]","psource.tlm.p [Pa]","prv.tlm.q [m^3/s]","prv.tlm.p [Pa]"
0.3448,-0.000206717,1.59429e+07,8.68697e-05,1.60016e+07
0.3458,-0.000207353,1.58555e+07,8.71468e-05,1.59144e+07
0.3468,-0.000207954,1.57678e+07,8.74085e-05,1.58269e+07
0.3478,-0.000208519,1.56799e+07,8.76553e-05,1.57391e+07
0.3488,-0.000209049,1.55918e+07,8.78874e-05,1.56512e+07
0.3498,-0.000209546,1.55034e+07,8.8105e-05,1.5563e+07
0.3508,-0.000210009,1.54149e+07,8.83085e-05,1.54746e+07
0.3518,-0.00021044,1.53262e+07,8.8498e-05,1.5386e+07
0.3528,-0.000210838,1.52374e+07,8.86738e-05,1.52973e+07
0.3538,-0.000211205,1.51484e+07,8.8836e-05,1.52084e+07
0.3548,-0.00021154,1.50593e+07,8.8985e-05,1.51194e+07
0.3558,-0.000211844,1.497e+07,8.91209e-05,1.50302e+07
0.3568,-0.000212119,1.48806e+07,8.9244e-05,1.49409e+07
0.3578,-0.000212363,1.47912e+07,8.93543e-05,1.48515e+07
0.3588,-0.000212578,1.47016e+07,8.94522e-05,1.4762e+07
0.3598,-0.000212763,1.4612e+07,8.95377e-05,1.46725e+07
0.3608,-0.000212921,1.45223e+07,8.9611e-05,1.45828e+07
0.3618,-0.000213049,1.44326e+07,8.96723e-05,1.44931e+07
0.3628,-0.00021315,1.43428e+07,8.97218e-05,1.44034e+07
0.3638,-0.000213224,1.4253e+07,8.97596e-05,1.43136e+07
0.3648,-0.00021327,1.41632e+07,8.97859e-05,1.42238e+07
0.3658,-0.000213289,1.40734e+07,8.98008e-05,1.4134e+07
0.3668,-0.000213282,1.39836e+07,8.98044e-05,1.40442e+07
0.3678,-0.000213249,1.38938e+07,8.97969e-05,1.39544e+07
0.3688,-0.000213189,1.3804e+07,8.97784e-05,1.38646e+07
0.3698,-0.000213104,1.37143e+07,8.9749e-05,1.37749e+07
0.3708,-0.000212994,1.36247e+07,8.97089e-05,1.36852e+07
0.3718,-0.000212858,1.35351e+07,8.96581e-05,1.35956e+07
0.3728,-0.000212698,1.34455e+07,8.95968e-05,1.3506e+07
0.3738,-0.000212513,1.33561e+07,8.95251e-05,1.34165e+07
0.3748,-0.000212304,1.32667e+07,8.9443e-05,1.33271e+07
0.3758,-0.00021207,1.31775e+07,8.93508e-05,1.32378e+07
0.3768,-0.000211813,1.30883e+07,8.92485e-05,1.31485e+07
0.3778,-0.000211532,1.29993e+07,8.91361e-05,1.30594e+07
0.3788,-0.000211228,1.29104e+07,8.90138e-05,1.29705e+07
0.3798,-0.0002109,1.28217e+07,8.88817e-05,1.28816e+07
0.3808,-0.00021055,1.27331e+07,8.87399e-05,1.27929e+07
0.3818,-0.000210176,1.26447e+07,8.85884e-05,1.27044e+07
0.3828,-0.00020978,1.25564e+07,8.84274e-05,1.2616e+07
0.3838,-0.000209362,1.24683e+07,8.82569e-05,1.25278e+07
0.3848,-0.000208922,1.23804e+07,8.80769e-05,1.24398e+07
0.3858,-0.000208459,1.22927e+07,8.78877e-05,1.2352e+07
0.3868,-0.000207975,1.22053e+07,8.76892e-05,1.22644e+07
0.3878,-0.000207469,1.2118e+07,8.74816e-05,1.2177e+07
0.3888,-0.000206941,1.2031e+07,8.72648e-05,1.20898e+07
0.3898,-0.000206392,1.19441e+07,8.70391e-05,1.20028e+07
0.3908,-0.000205822,1.18576e+07,8.68044e-05,1.19161e+07
0.3918,-0.000205231,1.17713e+07,8.65608e-05,1.18296e+07
0.3928,-0.000204619,1.16852e+07,8.63084e-05,1.17434e+07
