"time","SineAndStep.out2","SineAndStep.out1","Ramp.out","MultiplyAndAdd.out2","MultiplyAndAdd.out1","Gain.out"
0.354,0,-0.865674,1.635,-1.54461,-1.54461,-1.6977
0.355,0,-0.844328,1.6375,-1.57166,-1.57166,-1.83683
0.356,0,-0.812372,1.64,-1.57919,-1.57919,-1.95489
0.357,0,-0.780416,1.6425,-1.58672,-1.58672,-2.07294
0.358,0,-0.748459,1.645,-1.59425,-1.59425,-2.191
0.359,0,-0.716503,1.6475,-1.60179,-1.60179,-2.30906
0.36,0,-0.684547,1.65,-1.60932,-1.60932,-2.42712
0.361,0,-0.643988,1.6525,-1.59655,-1.59655,-2.51626
0.362,0,-0.60343,1.655,-1.58378,-1.58378,-2.6054
0.363,0,-0.562871,1.6575,-1.57101,-1.57101,-2.69454
0.364,0,-0.522312,1.66,-1.55824,-1.55824,-2.78368
0.365,0,-0.481754,1.6625,-1.54547,-1.54547,-2.87283
0.366,0,-0.435141,1.665,-1.51289,-1.51289,-2.92692
0.367,0,-0.388528,1.6675,-1.48031,-1.48031,-2.98102
0.368,0,-0.341915,1.67,-1.44774,-1.44774,-3.03512
0.369,0,-0.295303,1.6725,-1.41516,-1.41516,-3.08922
0.37,0,-0.24869,1.675,-1.38259,-1.38259,-3.14332
0.371,0,-0.198952,1.6775,-1.33197,-1.33197,-3.15838
0.372,0,-0.149214,1.68,-1.28135,-1.28135,-3.17345
0.373,0,-0.099476,1.6825,-1.23074,-1.23074,-3.18851
0.374,0,-0.049738,1.685,-1.18012,-1.18012,-3.20357
0.375,0,1.26844e-14,1.6875,-1.1295,-1.1295,-3.21864
0.376,0,0.049738,1.69,-1.06379,-1.06379,-3.1931
0.377,0,0.099476,1.6925,-0.998068,-0.998068,-3.16756
0.378,0,0.149214,1.695,-0.93235,-0.93235,-3.14201
0.379,0,0.198952,1.6975,-0.866633,-0.866633,-3.11647
0.38,0,0.24869,1.7,-0.800915,-0.800915,-3.09093
0.381,0,0.295303,1.7025,-0.724043,-0.724043,-3.02578
0.382,0,0.341915,1.705,-0.647172,-0.647172,-2.96063
0.383,0,0.388528,1.7075,-0.5703,-0.5703,-2.89548
0.384,0,0.435141,1.71,-0.493428,-0.493428,-2.83033
0.385,0,0.481754,1.7125,-0.416556,-0.416556,-2.76517
0.386,0,0.522312,1.715,-0.333244,-0.333244,-2.66394
0.387,0,0.562871,1.7175,-0.249933,-0.249933,-2.56271
0.388,0,0.60343,1.72,-0.166622,-0.166622,-2.46147
0.389,0,0.643988,1.7225,-0.0833111,-0.0833111,-2.36024
