"time","cs_adder1fmu1.y","cs_source1fmu1.y","cs_source1fmu2.y"
0.338,1.56033,1.69786,-0.236085
0.339,1.55377,1.70104,-0.245813
0.34,1.54721,1.70422,-0.255541
0.341,1.54063,1.70732,-0.265141
0.342,1.53405,1.71042,-0.274741
0.343,1.52747,1.71352,-0.284341
0.344,1.52089,1.71662,-0.293941
0.345,1.51431,1.71972,-0.303542
0.346,1.50773,1.72275,-0.31299
0.347,1.50115,1.72577,-0.322438
0.348,1.49458,1.7288,-0.331887
0.349,1.488,1.73182,-0.341335
0.35,1.48142,1.73485,-0.350783
0.351,1.47487,1.73779,-0.360056
0.352,1.46832,1.74074,-0.369329
0.353,1.46177,1.74369,-0.378602
0.354,1.45522,1.74663,-0.387875
0.355,1.44867,1.74958,-0.397148
0.356,1.44218,1.75245,-0.406223
0.357,1.43568,1.75531,-0.415297
0.358,1.42918,1.75818,-0.424372
0.359,1.42268,1.76105,-0.433446
0.36,1.41618,1.76392,-0.44252
0.361,1.40976,1.7667,-0.451374
0.362,1.40334,1.76949,-0.460227
0.363,1.39691,1.77228,-0.46908
0.364,1.39049,1.77507,-0.477933
0.365,1.38406,1.77786,-0.486787
0.366,1.37774,1.78056,-0.495397
0.367,1.37141,1.78327,-0.504006
0.368,1.36508,1.78598,-0.512616
0.369,1.35876,1.78869,-0.521226
0.37,1.35243,1.7914,-0.529836
0.371,1.34622,1.79402,-0.538181
0.372,1.34002,1.79665,-0.546526
0.373,1.33381,1.79928,-0.554871
0.374,1.3276,1.80191,-0.563216
0.375,1.3214,1.80454,-0.571561
0.376,1.31533,1.80708,-0.579621
0.377,1.30927,1.80963,-0.58768
0.378,1.3032,1.81217,-0.595739
0.379,1.29713,1.81472,-0.603799
0.38,1.29107,1.81727,-0.611858
0.381,1.28517,1.81973,-0.619611
0.382,1.27927,1.8222,-0.627365
0.383,1.27336,1.82466,-0.635118
0.384,1.26746,1.82713,-0.642872
0.385,1.26156,1.82959,-0.650625
0.386,1.25584,1.83197,-0.658053
0.387,1.25013,1.83435,-0.665482
0.388,1.24441,1.83674,-0.67291
0.389,1.23869,1.83912,-0.680338
0.39,1.23297,1.8415,-0.687766
0.391,1.22746,1.8438,-0.694851
0.392,1.22195,1.8461,-0.701935
0.393,1.21644,1.8484,-0.709019
0.394,1.21092,1.8507,-0.716104
0.395,1.20541,1.853,-0.723188
0.396,1.20012,1.85521,-0.729911
0.397,1.19483,1.85743,-0.736634
0.398,1.18954,1.85965,-0.743357
0.399,1.18425,1.86186,-0.75008
0.4,1.17896,1.86408,-0.756802
0.401,1.17392,1.86621,-0.763147
0.402,1.16887,1.86834,-0.769492
0.403,1.16383,1.87047,-0.775836
0.404,1.15878,1.87261,-0.782181
0.405,1.15374,1.87474,-0.788525
0.406,1.14895,1.87679,-0.794476
0.407,1.14417,1.87883,-0.800426
0.408,1.13938,1.88088,-0.806376
0.409,1.1346,1.88293,-0.812327
0.41,1.12981,1.88498,-0.818277
0.411,1.1253,1.88694,-0.823818
0.412,1.1208,1.8889,-0.82936
0.413,1.11629,1.89087,-0.834901
0.414,1.11178,1.89283,-0.840442
0.415,1.10728,1.89479,-0.845984
0.416,1.10306,1.89667,-0.851102
0.417,1.09885,1.89855,-0.856221
0.418,1.09464,1.90043,-0.861339
0.419,1.09043,1.9023,-0.866457
0.42,1.08621,1.90418,-0.871576
0.421,1.08231,1.90597,-0.876258
0.422,1.07841,1.90776,-0.880941
0.423,1.07451,1.90956,-0.885624
0.424,1.0706,1.91135,-0.890307
0.425,1.0667,1.91314,-0.894989
0.426,1.06312,1.91485,-0.899225
0.427,1.05954,1.91655,-0.90346
0.428,1.05597,1.91826,-0.907695
