"time","left.out"
0.804,-0.942991
0.805,-0.940881
0.806,-0.938734
0.807,-0.93655
0.808,-0.934329
0.809,-0.932071
0.81,-0.929776
0.811,-0.927445
0.812,-0.925077
0.813,-0.922673
0.814,-0.920232
0.815,-0.917755
0.816,-0.915241
0.817,-0.912692
0.818,-0.910106
0.819,-0.907484
0.82,-0.904827
0.821,-0.902134
0.822,-0.899405
0.823,-0.896641
0.824,-0.893841
0.825,-0.891007
0.826,-0.888136
0.827,-0.885231
0.828,-0.882291
0.829,-0.879316
0.83,-0.876307
0.831,-0.873262
0.832,-0.870184
0.833,-0.867071
0.834,-0.863923
0.835,-0.860742
0.836,-0.857527
0.837,-0.854277
0.838,-0.850994
0.839,-0.847678
0.84,-0.844328
0.841,-0.840945
0.842,-0.837528
0.843,-0.834078
0.844,-0.830596
0.845,-0.827081
0.846,-0.823533
0.847,-0.819952
0.848,-0.816339
0.849,-0.812694
0.85,-0.809017
0.851,-0.805308
0.852,-0.801567
0.853,-0.797794
0.854,-0.79399
0.855,-0.790155
0.856,-0.786288
0.857,-0.782391
0.858,-0.778462
0.859,-0.774503
0.86,-0.770513
0.861,-0.766493
0.862,-0.762443
0.863,-0.758362
0.864,-0.754251
0.865,-0.750111
0.866,-0.745941
0.867,-0.741742
0.868,-0.737513
0.869,-0.733255
0.87,-0.728969
0.871,-0.724653
0.872,-0.720309
0.873,-0.715936
0.874,-0.711536
0.875,-0.707107
0.876,-0.70265
0.877,-0.698165
0.878,-0.693653
0.879,-0.689114
0.88,-0.684547
0.881,-0.679953
0.882,-0.675333
0.883,-0.670686
0.884,-0.666012
0.885,-0.661312
0.886,-0.656586
0.887,-0.651834
0.888,-0.647056
0.889,-0.642253
0.89,-0.637424
0.891,-0.63257
0.892,-0.627691
0.893,-0.622788
0.894,-0.61786
0.895,-0.612907
0.896,-0.60793
0.897,-0.60293
0.898,-0.597905
0.899,-0.592857
0.9,-0.587785
0.901,-0.58269
0.902,-0.577573
0.903,-0.572432
0.904,-0.567269
0.905,-0.562083
0.906,-0.556876
0.907,-0.551646
0.908,-0.546394
0.909,-0.541121
0.91,-0.535827
0.911,-0.530511
0.912,-0.525175
0.913,-0.519817
0.914,-0.51444
0.915,-0.509041
0.916,-0.503623
0.917,-0.498185
0.918,-0.492727
0.919,-0.48725
0.92,-0.481754
0.921,-0.476238
0.922,-0.470704
0.923,-0.465151
0.924,-0.45958
0.925,-0.45399
0.926,-0.448383
0.927,-0.442758
0.928,-0.437116
0.929,-0.431456
0.93,-0.425779
0.931,-0.420086
0.932,-0.414376
0.933,-0.408649
0.934,-0.402906
0.935,-0.397148
0.936,-0.391374
0.937,-0.385584
0.938,-0.379779
0.939,-0.373959
0.94,-0.368125
0.941,-0.362275
0.942,-0.356412
0.943,-0.350534
0.944,-0.344643
0.945,-0.338738
0.946,-0.33282
0.947,-0.326888
0.948,-0.320944
0.949,-0.314987
0.95,-0.309017
0.951,-0.303035
0.952,-0.297042
0.953,-0.291036
0.954,-0.285019
0.955,-0.278991
0.956,-0.272952
0.957,-0.266902
0.958,-0.260842
0.959,-0.254771
0.96,-0.24869
0.961,-0.242599
0.962,-0.236499
0.963,-0.230389
0.964,-0.224271
0.965,-0.218143
0.966,-0.212007
0.967,-0.205863
0.968,-0.19971
0.969,-0.193549
0.97,-0.187381
0.971,-0.181206
0.972,-0.175023
0.973,-0.168833
0.974,-0.162637
0.975,-0.156434
0.976,-0.150226
0.977,-0.144011
0.978,-0.13779
0.979,-0.131564
0.98,-0.125333
0.981,-0.119097
0.982,-0.112856
0.983,-0.106611
0.984,-0.100362
0.985,-0.0941083
0.986,-0.0878512
0.987,-0.0815906
0.988,-0.0753268
0.989,-0.06906
0.99,-0.0627905
0.991,-0.0565185
0.992,-0.0502443
0.993,-0.0439681
0.994,-0.0376902
0.995,-0.0314108
0.996,-0.0251301
0.997,-0.0188484
0.998,-0.012566
0.999,-0.00628314
